acquisition_events_mean,acquisition_events_std,budget,mae_bin_clean_or_below_threshold_mean,mae_bin_clean_or_below_threshold_std,mae_bin_large_mean,mae_bin_large_std,mae_bin_moderate_mean,mae_bin_moderate_std,mae_bin_small_mean,mae_bin_small_std,mae_bin_tiny_mean,mae_bin_tiny_std,mae_dominant_bracket__main_pin_mean,mae_dominant_bracket__main_pin_std,mae_dominant_bracket__splint_mean,mae_dominant_bracket__splint_std,mae_dominant_clean_mean,mae_dominant_clean_std,mae_dominant_main_pin__splint_mean,mae_dominant_main_pin__splint_std,mae_log_mean,mae_log_std,mae_norm_mean,mae_norm_std,median_ae_norm_mean,median_ae_norm_std,n_bin_clean_or_below_threshold_mean,n_bin_clean_or_below_threshold_std,n_bin_large_mean,n_bin_large_std,n_bin_moderate_mean,n_bin_moderate_std,n_bin_small_mean,n_bin_small_std,n_bin_tiny_mean,n_bin_tiny_std,n_dominant_bracket__main_pin_mean,n_dominant_bracket__main_pin_std,n_dominant_bracket__splint_mean,n_dominant_bracket__splint_std,n_dominant_clean_mean,n_dominant_clean_std,n_dominant_main_pin__splint_mean,n_dominant_main_pin__splint_std,n_mean,n_seeds,n_std,near_threshold_mae_norm_mean,near_threshold_mae_norm_std,pearson_norm_mean,pearson_norm_std,rmse_log_mean,rmse_log_std,rmse_norm_mean,rmse_norm_std,series,spearman_norm_mean,spearman_norm_std,strategy,train_frac_clean_or_below_threshold_mean,train_frac_clean_or_below_threshold_std,train_frac_large_mean,train_frac_large_std,train_frac_moderate_mean,train_frac_moderate_std,train_frac_small_mean,train_frac_small_std,train_frac_tiny_mean,train_frac_tiny_std,train_overlap_positive_rate_mean,train_overlap_positive_rate_std
32.0,0.0,7500,2.6552425814727577e-05,1.0016219454543488e-06,0.0031794543782546307,0.00019084321827246543,0.0009105294270384815,4.828163011670159e-05,0.00033238273228030133,1.050370356973144e-05,0.00013810374492654527,1.322056369987041e-05,0.0016131866953845826,0.0001343516466507835,0.0008953102754129037,3.115127327333856e-05,2.6552425814727577e-05,1.0016219454543488e-06,0.0015593228917036284,0.00011084857006755327,0.42716176867610983,0.009809825930524672,0.0007795906381670086,4.110992781974528e-05,8.055629232709786e-05,3.36804212712478e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00012138678864824912,4.323979557483515e-06,0.925493216497863,0.01527685559371766,0.74270677541505,0.011181187349038805,0.002236905548079635,0.0003052198388002514,active_base5000,0.8342860169554406,0.001473243597844728,log_variance,0.35728888888888893,0.01115670644793669,0.35142222222222225,0.008617180656637977,0.17573333333333332,0.005909941404735529,0.08924444444444445,0.003472359997266594,0.026311111111111115,0.0013124287164651917,0.6427111111111111,0.011156706447936664
32.0,0.0,10000,3.279119778408015e-05,3.267085362008985e-06,0.003629913124859531,0.0003778824278608757,0.0010172429151041103,9.837234102959612e-05,0.00031252634569810196,1.6371715477087647e-05,0.00011048786660422157,5.2761066013911106e-06,0.001918986983263393,0.0001670024239442597,0.0008556642615404406,2.954021787501413e-05,3.279119778408015e-05,3.267085362008985e-06,0.0017448676716643114,0.00017418475755732793,0.45318598360175927,0.03474374069029117,0.0008772696440529306,7.966433511062569e-05,9.73043315752875e-05,9.771872090951974e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00011205128342975017,7.404540221788778e-06,0.9195323042599716,0.010882152482625662,0.7332065712133167,0.03807069327391833,0.002575395227887112,0.0003138751501703433,active_base5000,0.8350091134643645,0.006719117299841775,log_variance,0.3377333333333333,0.009537411715042096,0.36599999999999994,0.011812140647091303,0.18356666666666666,0.0035649528592800344,0.0861,0.0032259365565160576,0.026600000000000002,0.001272792206135786,0.6622666666666667,0.009537411715042096
32.0,0.0,12500,3.1449162956291354e-05,4.360780730130252e-06,0.0031890667656043186,0.0002498444257013591,0.0008934442791204304,8.732247047306027e-05,0.0003056139589720694,1.5933254316029673e-05,0.00012658225775836668,2.4422907374165466e-05,0.0017727261283168143,0.00022223272655445695,0.0008597965052374723,3.284676820269077e-05,3.1449162956291354e-05,4.360780730130252e-06,0.001492613368667044,8.997804357239532e-05,0.4246140216359144,0.009542515887745927,0.0007767718737089371,5.477408398269533e-05,8.453924480515222e-05,4.5745061570463846e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00010885797509517716,3.6078735278452428e-06,0.9370287258613107,0.008271824170722425,0.7089447032491204,0.0071642667907684775,0.0021847607077348087,9.925312064691681e-05,active_base5000,0.8355154803326191,0.003755187554000137,log_variance,0.3407466666666667,0.01562989727697814,0.3596,0.017157715465644024,0.18152,0.0031114412523245063,0.09109333333333335,0.0043457667780138496,0.027039999999999998,0.0007946487693734052,0.6592533333333334,0.015629897276978156
32.0,0.0,15000,3.7599460081385584e-05,7.0938782144748635e-06,0.0036376691880502625,0.0007611024727259889,0.0010351476354109946,0.00016656437078292976,0.00030447650636890316,2.728003161747068e-05,0.00010967891250563143,9.909478014974673e-07,0.002018267541323237,2.040620115913497e-05,0.0008534216602374741,4.2044762221143007e-05,3.7599460081385584e-05,7.0938782144748635e-06,0.0017202288392645082,0.0004950515816824595,0.4783148642322285,0.07797771820799168,0.0008832800425858882,0.00016949289068566258,0.00010416066046066892,2.2603578182910102e-05,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00011930982147527714,1.615190572752288e-05,0.9252753144180835,0.01956310709557617,0.7656101762574012,0.07896852127028511,0.00248502111815705,0.00053039902390673,active_base5000,0.8239956042878239,0.017522661252656425,log_variance,0.32797777777777776,0.007298164829362456,0.3708,0.017796961871394002,0.18002222222222222,0.003368847844956658,0.09386666666666665,0.005550842445237647,0.02733333333333333,0.002223110933404409,0.6720222222222222,0.007298164829362475
32.0,0.0,10000,2.3478489902704485e-05,2.4250446232523085e-06,0.0032783484817237815,0.0004911709165741066,0.0008038579166777109,2.5964146868157644e-05,0.0002982404672060196,3.4413240704293846e-06,0.00011804485257058601,5.979113643988187e-06,0.002209902745220107,0.00027507534175046046,0.0008681835589753395,4.41759529123985e-05,2.3478489902704485e-05,2.4250446232523085e-06,0.0013230378430648092,0.00017834910654169122,0.3922550157711626,0.008118801047849183,0.0007704544876011504,8.209141692814537e-05,6.618579974807896e-05,3.6746375015273114e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.00010881597424936846,5.485922449105631e-06,0.9392675011840956,0.0020648912610976206,0.7036537997631281,0.024064800843653075,0.0021379783855003205,0.00035151658867031926,active_base10000,0.8433005859880233,0.0051450071535205765,near_threshold_log_variance,0.48133333333333334,0.004034297405441926,0.17703333333333335,0.0036917325050562456,0.1898333333333333,0.0034682688605252136,0.11599999999999999,0.002760434748368456,0.0358,0.0008524474568362946,0.5186666666666667,0.00403429740544195
32.0,0.0,12500,2.6250055659607282e-05,1.6467976210165885e-06,0.0037745135072515105,0.0004812106209140036,0.0007851762630629709,7.965769162317155e-05,0.00028498672502240196,3.755050511898797e-06,0.00011693780456702994,1.6339582703660223e-05,0.0025189344980364897,0.0005512518801192323,0.0008009089312634542,3.182779500023072e-05,2.6250055659607282e-05,1.6467976210165885e-06,0.001471246160933081,0.00010605255899308051,0.37879132843972513,0.014504907434723713,0.0008526900349036377,9.793684609957624e-05,6.798374427792926e-05,6.407030622492324e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,9.726003943609969e-05,2.254310716551654e-06,0.9179976460702798,0.015158841669748761,0.6605714388912618,0.015619828415846238,0.002694701653450674,0.00037086162004699064,active_base10000,0.8496470516498819,0.007789084161334327,near_threshold_log_variance,0.4460266666666666,0.009833023723939432,0.1752,0.009792731998783583,0.22272,0.014511567799517738,0.11952,0.006649471156916668,0.036533333333333334,0.0016708746877675238,0.5539733333333333,0.00983302372393939
32.0,0.0,15000,2.4985271087506306e-05,3.998315954257985e-06,0.003750149688285032,0.0001442597622813595,0.0007875837337325992,4.195666260473502e-05,0.0002856430568321835,2.5532120696080204e-05,0.00011676460996781788,1.5222682360995676e-05,0.002412255330080673,0.0003459144027447248,0.0008096368354371565,1.412297795238542e-05,2.4985271087506306e-05,3.998315954257985e-06,0.0014971754181486699,4.4306231619073265e-05,0.3719554326857089,0.020696446899126784,0.000848378341818987,3.363262605294815e-05,6.94776948269767e-05,7.706844249600609e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,9.376290972193109e-05,8.414618217209194e-06,0.914632599651504,0.011869038209301085,0.6545140404937766,0.02995324102991788,0.00264583799861878,8.817804652226774e-05,active_base10000,0.8479105578524222,0.008541545666649119,near_threshold_log_variance,0.43297777777777774,0.009295372537842898,0.15357777777777779,0.006547000066942352,0.23782222222222224,0.007880652977896224,0.1335111111111111,0.0062330857546396175,0.042111111111111106,0.002969640623391787,0.5670222222222222,0.009295372537842878
32.0,0.0,3000,4.159538945085561e-05,9.25553669916009e-06,0.0034484964581098575,0.0006195763280890505,0.0009403324111461709,0.0001037810735526801,0.00037080504492439026,4.2794563916121864e-05,0.0001528052112253367,3.868648138914579e-05,0.002411417781743239,0.000729394467495778,0.0008450665046238524,3.2999890458405525e-05,4.159538945085561e-05,9.25553669916009e-06,0.0014528254600723524,0.00011115980058499612,0.461526116853397,0.018635174758396024,0.0008442537797095296,0.00011603579813782525,9.501963427283044e-05,4.875736177311845e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.0001351649095034474,7.9262475715474e-06,0.9233406909622324,0.02764228940233554,0.7981847524826274,0.019216192705049623,0.0024208419119059617,0.00045197322801985207,active_base3000,0.8309821739752867,0.0012199679096242828,near_threshold_log_variance,0.4814444444444444,0.005717635702341609,0.17966666666666667,0.0019051586888313694,0.18355555555555556,0.0034029761846919,0.11855555555555557,0.007390350732584841,0.03677777777777778,0.003937787810370967,0.5185555555555555,0.005717635702341563
32.0,0.0,5000,2.9572996957157634e-05,3.859450568298474e-06,0.0038625168661807017,0.0005579799919128716,0.0008699111136108332,0.00012304370553749055,0.00029768770623776666,1.638839731101613e-05,0.0001304890474664241,1.3941302490974125e-05,0.0022714985767776047,0.0005947773164798575,0.0007963316732414005,2.2824603632593638e-05,2.9572996957157634e-05,3.859450568298474e-06,0.0016641068254865908,0.00020094483538612943,0.39797676491914596,0.020848471336362518,0.0008874235493360449,0.00011541042977888724,7.731570682760018e-05,6.1032445225500715e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,0.0001026179071602062,4.3027840905313025e-06,0.9054208852667548,0.034141505378397344,0.6938190270568535,0.02091629890414143,0.0027784522123890203,0.0004226924094860983,active_base3000,0.8448802542432099,0.0034759692964363626,near_threshold_log_variance,0.4937333333333333,0.02110060557319518,0.13893333333333335,0.013064285497322674,0.2021333333333333,0.026919303276438804,0.12506666666666666,0.0082143505863553,0.04013333333333333,0.006421491692399481,0.5062666666666668,0.021100605573195208
32.0,0.0,7500,2.8286887485351034e-05,1.1368371917028349e-06,0.005661662701877062,0.0006262719542419029,0.0009563950170369935,0.00014844770596581948,0.00028576999167979797,1.295714878983538e-05,0.00011962719904157737,1.370697174063951e-05,0.0034987928857804543,0.0012869094498892924,0.0007748999467754577,2.7796162737756128e-05,2.8286887485351034e-05,1.1368371917028349e-06,0.0022155308072150776,0.0001850432296189354,0.40135237915489164,0.02170544693524424,0.001213114180750583,0.00013251493423915053,8.127050265708628e-05,4.3255686170615654e-06,2413.0,0.0,867.0,0.0,935.0,0.0,605.0,0.0,180.0,0.0,600.0,0.0,350.0,0.0,2413.0,0.0,1637.0,0.0,5000.0,3,0.0,9.338340922788951e-05,5.2953485963713295e-06,0.8560167054994196,0.03374740036119029,0.686803390957408,0.03281476572763834,0.00431656078486354,0.00042354329386223074,active_base3000,0.8435480860619234,0.008130222050870191,near_threshold_log_variance,0.47155555555555556,0.027874498279269286,0.11977777777777776,0.009590324342151015,0.2229777777777778,0.028060745394567946,0.14115555555555556,0.008699311736646637,0.044533333333333334,0.0015084944665313019,0.5284444444444444,0.027874498279269314
