# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
variant,model_id,optimizer,n_success,baseline_mean_L_over_D,final_mean_L_over_D,mean_delta_L_over_D,median_delta_L_over_D,mean_rel_delta_L_over_D,mean_delta_CD0,median_delta_CD0,mean_delta_CD,final_vlm_ok_rate,mean_delta_weight,note
e,raw_log_huber_100k,full_coordinate_grid_refine,53,804.6332188268307,15.055013146041738,-789.5782056807881,-0.02096658660654782,0.10114242259895877,-5.564203139979249e-06,0.0,-0.03493350730561872,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
e,raw_log_huber_100k,trust_region_hybrid,73,578.8264961219573,14.443067927456998,-564.3834281945002,0.09316778311479013,1.1190332452705762,-8.120717280396715e-05,4.67316185721392e-05,-767.9350205649463,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
e,raw_log_huber_100k,trust_region_hybrid_shrinkage,64,9.079056074993586,14.006152594694052,4.927096519700471,0.042051766349966435,1.2817733930971953,-0.00021390749402828155,4.9514531215048146e-05,-875.8504139140102,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
e,raw_log_huber_100k,all,90,473.811912127152,13.754971152931057,-460.0569409742206,0.01696279004764545,0.8423502632085468,-9.090701598569814e-06,0.0,-622.8954569935291,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
f,eng_multitask_gate_strong_100k,one_shot_gradient_line_search,81,524.3802367870021,18.760240692562462,-505.61999609443933,0.05992895913946761,1.2005122753005217,0.0009809130631676134,-8.187428746244882e-05,-692.1011801230372,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
f,eng_multitask_gate_strong_100k,receding_multistep_gradient,92,463.21618223827903,15.382981867798076,-447.833200370481,0.19198849689500008,0.8710360450974618,0.00042571116377235224,-0.0002067147969129976,-604.0211919318799,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
f,eng_multitask_gate_strong_100k,receding_multistep_penalty,92,463.21618223827903,16.03910178206632,-447.17708045621276,0.27777139774285065,0.9064559931603431,0.0004350892971022393,-0.00017565174985550817,-604.0228873090649,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
f,eng_multitask_gate_strong_100k,full_coordinate_grid_refine,62,690.0645652435941,14.150859379066258,-675.9137058645274,0.0,0.05986692067717563,-6.406424549325363e-05,0.0,-0.023003863731443787,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
f,eng_multitask_gate_strong_100k,trust_region_hybrid,80,530.912995245259,35.37962610022048,-495.53336914503836,0.06110725497892222,5.158327870953075,0.00019767291197946615,-2.685152514792649e-05,-404.153567348827,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
f,eng_multitask_gate_strong_100k,trust_region_hybrid_shrinkage,76,557.2753800747121,17.11255099367071,-540.1628290810412,0.04027426492968367,2.226143554802395,0.00016735586369828176,-2.6851525147924757e-05,-425.4221328024314,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
f,eng_multitask_gate_strong_100k,all,94,454.17752460623007,14.885826809409178,-439.2916977968205,0.008253682916469884,2.279043538374462,0.0003519988551154907,0.0,-940.3204842190647,1.0,,unavailable in the VLM quick sim (needs CAD compute_uav_mass_cog / full report)
