# SOURCE: runs_dir=runs; benchmark=['overlap_ranked100_v2']; n_subgroups=42; generated=2026-07-01T17:57:43+00:00
variant,model_id,optimizer,method,gate,tau_decide_mm3,p_star,verified_ok,false_ok,coverage_n,proximity_n,mean_l2,mean_l1,mean_l0,mean_final_overlap_mm3,sim_n_success,sim_baseline_mean_LD,sim_final_mean_LD,sim_mean_dLD,sim_median_dLD,sim_mean_dCD0,sim_mean_dCD,sim_final_vlm_ok_rate,n_starts,benchmark_id,run_id
c,eng_multitask_gate_strong_100k,trust_region_hybrid_shrinkage,Trust-region top-x cloud + clean-preserving shrinkage,reg,0.5,,78,19,100,78,0.12325933133794872,0.2952585765477856,7.782051282051282,5919.2479495069865,68,629.3925260906828,14.878977303610858,-614.5135487870723,0.06443448127141416,4.4643595136863706e-05,-824.3923484643865,1.0,100,overlap_ranked100_v2,model_c_eng_multitask_gate_strong_featgrad_full__trust_region_hybrid_shrinkage__eng_multitask_gate_strong_100k
c,eng_multitask_gate_strong_100k,trust_region_hybrid_shrinkage,Trust-region top-x cloud + clean-preserving shrinkage,reg,0.1,,90,7,100,90,0.14698409708830615,0.35428193261813035,7.966666666666667,5774.717540435502,68,629.3925260906828,14.878977303610858,-614.5135487870723,0.06443448127141416,4.4643595136863706e-05,-824.3923484643865,1.0,100,overlap_ranked100_v2,model_c_eng_multitask_gate_strong_featgrad_full__trust_region_hybrid_shrinkage__eng_multitask_gate_strong_100k
c,eng_multitask_gate_strong_100k,trust_region_hybrid_shrinkage,Trust-region top-x cloud + clean-preserving shrinkage,reg,0.01,,95,2,100,95,0.17765531639439347,0.4308727902074499,8.094736842105263,5649.946021750009,68,629.3925260906828,14.878977303610858,-614.5135487870723,0.06443448127141416,4.4643595136863706e-05,-824.3923484643865,1.0,100,overlap_ranked100_v2,model_c_eng_multitask_gate_strong_featgrad_full__trust_region_hybrid_shrinkage__eng_multitask_gate_strong_100k
d,eng_log_huber_100k,all,"All (best of 6, CAD-adjudicated)",reg,1.0,,91,7,100,91,0.20508810738534694,0.2972957041882498,2.318681318681319,9959.462998535711,91,468.3948300101448,14.55586154036187,-453.83896846978297,0.036523098640152796,-0.0004198145871123285,-616.0415185338298,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__all__eng_log_huber_100k
d,eng_log_huber_100k,full_coordinate_grid_refine,Full coordinate grid + refine,reg,1.0,,63,27,100,63,0.179901105661903,0.179901105661903,1.0,22627.40874631312,63,679.4390148439327,14.366430735146299,-665.072584108786,-0.023830505420502135,-4.593752029336612e-05,-0.01655461122400701,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__full_coordinate_grid_refine__eng_log_huber_100k
d,eng_log_huber_100k,full_coordinate_grid_refine,Full coordinate grid + refine,reg,0.5,,71,18,100,71,0.18176205798401904,0.18176205798401904,1.0,22617.211117416657,63,679.4390148439327,14.366430735146299,-665.072584108786,-0.023830505420502135,-4.593752029336612e-05,-0.01655461122400701,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__full_coordinate_grid_refine__eng_log_huber_100k
d,eng_log_huber_100k,full_coordinate_grid_refine,Full coordinate grid + refine,reg,0.1,,84,5,100,84,0.21708153597356256,0.21708153597356256,1.0,22480.435855709893,63,679.4390148439327,14.366430735146299,-665.072584108786,-0.023830505420502135,-4.593752029336612e-05,-0.01655461122400701,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__full_coordinate_grid_refine__eng_log_huber_100k
d,eng_log_huber_100k,full_coordinate_grid_refine,Full coordinate grid + refine,reg,0.01,,88,1,100,88,0.2635502201761607,0.2635502201761607,1.0,22478.360988709275,63,679.4390148439327,14.366430735146299,-665.072584108786,-0.023830505420502135,-4.593752029336612e-05,-0.01655461122400701,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__full_coordinate_grid_refine__eng_log_huber_100k
d,eng_log_huber_100k,one_shot_gradient_line_search,One-shot gradient line search,reg,1.0,,80,14,100,80,0.20243803093331603,0.4159466950114267,5.0,32893.947124699036,80,11.127415634420817,14.754667306243121,3.6272516718223096,0.1350235144629881,-0.0006947228646402733,0.0049289061435707675,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__one_shot_gradient_line_search__eng_log_huber_100k
d,eng_log_huber_100k,one_shot_gradient_line_search,One-shot gradient line search,reg,0.5,,87,7,100,87,0.20174021730468245,0.4156464179342147,4.988505747126437,32884.59259842708,80,11.127415634420817,14.754667306243121,3.6272516718223096,0.1350235144629881,-0.0006947228646402733,0.0049289061435707675,1.0,100,overlap_ranked100_v2,model_d_eng_log_huber_featgrad_full__one_shot_gradient_line_search__eng_log_huber_100k
