variant_id,arch_id,budget,n_runs,engineered,loss_variant,multitask,mae_log_mean,mae_log_std,typical_factor_mean,typical_factor_std,gate_f1_mean,gate_f1_std,spearman_mm3_mean,spearman_mm3_std,cond_mae_log_mean,cond_mae_log_std,cond_typical_factor_mean,cond_typical_factor_std,gate_f1_binary_mean,gate_f1_binary_std
eng_gate_aug_strong,mlp_256_128_64_32,60000,30,True,gate_augmented,False,0.3264985154874351,0.021448337856908188,2.123333166810848,0.10730769260711188,0.9409550604403729,0.004200797293292668,0.8518044592575313,0.03347198884279622,0.6735910358193504,0.06349134777022461,4.766880706974737,0.7390060207801941,,
eng_gate_aug_strong,mlp_256_128_64_32,70000,30,True,gate_augmented,False,0.32279626728592514,0.017337075593920184,2.1044341288023727,0.08581845383836409,0.9407113365310461,0.0021790335249059047,0.8540454149315391,0.025427481809783926,0.6624599359781641,0.046568082538649816,4.622424794857121,0.49631716275510007,,
eng_gate_aug_strong,mlp_256_128_64_32,80000,30,True,gate_augmented,False,0.32015259611369723,0.01234872289101351,2.0908515068760076,0.05992578546561037,0.9410152528769932,0.003663818081545543,0.8542927962553564,0.02680167727109282,0.6599848127493161,0.0402482198380175,4.589851645879194,0.4297038440387831,,
eng_gate_aug_strong,mlp_256_128_64_32,90000,30,True,gate_augmented,False,0.31994603751481543,0.01128830187131366,2.0897201857760725,0.05448410013763271,0.9414264713580044,0.002775975802726041,0.8590939287328472,0.029968631286169035,0.6603249568426257,0.04024361417414152,4.593037982678703,0.4163455732994617,,
eng_gate_aug_strong,mlp_256_128_64_32,100000,30,True,gate_augmented,False,0.31966626878926063,0.016691339349360797,2.089188956514059,0.08085381955926788,0.9423526717493862,0.0026389719008033533,0.8497212277492123,0.03334811290435791,0.6618082361617453,0.05084881201411732,4.621036617744752,0.5573733628245459,,
eng_log_huber,mlp_256_128_64_32,5000,30,True,log_huber,False,0.4024266375080297,0.04208297090281352,2.5372485538731278,0.23973407401670824,0.918859229181009,0.011381674932645046,0.7633092388369555,0.02091374987468234,0.7279470463560608,0.07929226980605966,5.4321735857946685,1.005677396106489,,
eng_log_huber,mlp_256_128_64_32,10000,30,True,log_huber,False,0.3476316468996871,0.023649298293581603,2.2298030904973802,0.12513610102542458,0.9275408565508889,0.011165500653977676,0.7637498421498423,0.022817966885024653,0.637843153494784,0.04639212504727617,4.36862648774524,0.4992725997636914,,
eng_log_huber,mlp_256_128_64_32,15000,30,True,log_huber,False,0.33801326509099955,0.0171479937419573,2.1794213214037454,0.08633679462414402,0.9303611108165903,0.0068394421541944795,0.7756375235129735,0.0192108341123425,0.6177999111036951,0.04651695656708209,4.1707708422449175,0.4501344334082848,,
eng_log_huber,mlp_256_128_64_32,20000,30,True,log_huber,False,0.32347593191007035,0.015706243244963117,2.107430789534616,0.07741739721616842,0.930260012664902,0.007992902929976082,0.7775930125982532,0.016810980166790758,0.5880309169607204,0.041658881815664364,3.8903063638505926,0.3801020700153025,,
eng_log_huber,mlp_256_128_64_32,25000,30,True,log_huber,False,0.3171143346028618,0.017866875230112253,2.0771602371300975,0.08567746240106827,0.9323499176589704,0.0064163483531808,0.7772466473418637,0.01586608840548943,0.5643611567124089,0.03975895426643261,3.682686701100731,0.3509076805621932,,
