architecture,row,base_size,total_labels,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,recall_blocked_mean,recall_blocked_std,recall_blocked_count,recall_assemblable_mean,recall_assemblable_std,recall_assemblable_count,roc_auc_mean,roc_auc_std,roc_auc_count,mcc_mean,mcc_std,mcc_count,brier_mean,brier_std,brier_count,ece_10bin_mean,ece_10bin_std,ece_10bin_count,fit_wall_s_mean,fit_wall_s_std,fit_wall_s_count,parameter_count_mean,parameter_count_std,parameter_count_count
constraint_graph_mpnn_v1,row2_hybrid_diverse_half,0,3500,0.9692867020012673,0.004818590175136638,8,0.9462316176470589,0.008663976726010316,8,0.9923417863554758,0.0030967098030967723,8,0.9986669597007339,0.000483440675652185,8,0.935100067376041,0.014730671719422017,8,0.010752418363794734,0.002010573739336459,8,0.014813948498211157,0.0031307679030219094,8,423.65171081774315,87.21874879334743,8,46033.0,0.0,8
constraint_graph_mpnn_v1,row2_hybrid_diverse_half,1000,1000,0.9257422658807688,0.008940119575258634,8,0.9395680147058824,0.029517233102351253,8,0.9119165170556554,0.019003417115111106,8,0.9789672426140563,0.003104383044883711,8,0.6911929046516395,0.02610212792086452,8,0.059957809643724304,0.009215090526586141,8,0.0875595298936326,0.018182935083844356,8,101.30688857812493,25.31419723831284,8,46033.0,0.0,8
constraint_graph_mpnn_v1,row2_hybrid_diverse_half,1000,2000,0.9663653682411025,0.006363193618077018,8,0.9795496323529411,0.01248444642206444,8,0.9531811041292639,0.0058199366778233655,8,0.9941025690740839,0.0012361096039595011,8,0.8175839625713607,0.01728572608836854,8,0.03583099769536548,0.003227686441276781,8,0.06953535803999629,0.00758046075121776,8,285.01543204173504,49.50877809331158,8,46033.0,0.0,8
constraint_graph_mpnn_v1,row2_hybrid_diverse_half,1000,3500,0.9746238135626782,0.005129429146616259,8,0.9744944852941176,0.011048543456039814,8,0.9747531418312388,0.003046496285766767,8,0.9973489767596895,0.0003965891515927478,8,0.8833429311662666,0.01029256126784031,8,0.02096390579779229,0.0021131052558069395,8,0.039607142058955616,0.004642785675701408,8,505.7491414218821,54.83449510426119,8,46033.0,0.0,8
constraint_graph_mpnn_v1,row2_hybrid_diverse_half,2500,3500,0.9593331694212694,0.004079848806055772,8,0.9839154411764706,0.004254687958513578,8,0.9347508976660682,0.011333589584126105,8,0.9916993734488858,0.001012628135104882,8,0.7713486789565135,0.02564483802950978,8,0.04566533683990842,0.005742394307900569,8,0.08762766318551164,0.011830289006568151,8,431.79475650512904,116.99915087620069,8,46033.0,0.0,8
edge_pool_graph_v1,baseline_random,0,250,0.840651401943183,0.031766433142282065,5,0.8238970588235294,0.03271335842135672,5,0.8574057450628366,0.061348186307790036,5,0.9170925767636499,0.03571440300305464,5,0.525732226334309,0.08439961191437902,5,0.10162345264291876,0.035160738678300135,5,0.12908536703510665,0.060297579245866914,5,0.9055983748054132,0.3774403048613975,5,13697.0,0.0,5
edge_pool_graph_v1,baseline_random,0,500,0.8914619415989016,0.022221426811194222,5,0.8856617647058822,0.04429727524679886,5,0.8972621184919211,0.011976779634836567,5,0.9599190450417151,0.013249906206350472,5,0.6246111513662902,0.0354367334763098,5,0.07305348148214486,0.007784552771337864,5,0.09565436012116017,0.014800426963196684,5,2.8316910665947943,0.6918762961102742,5,13697.0,0.0,5
edge_pool_graph_v1,baseline_random,0,1000,0.9277547127468582,0.0061399924197999625,5,0.96875,0.009005476995526378,5,0.8867594254937163,0.020095994754028068,5,0.9783927322050904,0.003101403381255763,5,0.6600855598825852,0.03232617744487665,5,0.07331444518308566,0.011983792214548402,5,0.11224073300828996,0.019581250317706658,5,4.808241182984784,1.8010067204884668,5,13697.0,0.0,5
edge_pool_graph_v1,baseline_random,0,2000,0.9339512488119125,0.012743773885504944,5,0.9555147058823529,0.028696495647670097,5,0.9123877917414722,0.012028390359494075,5,0.9816063437268984,0.0045249563307603454,5,0.7011258359840329,0.02367018649876814,5,0.05798684283691953,0.006960054571355226,5,0.08902159616837022,0.010766030142917028,5,7.763354341383092,3.833566588280805,5,13697.0,0.0,5
edge_pool_graph_v1,baseline_random,0,3500,0.9491957308057873,0.0035422241675258257,5,0.9849264705882353,0.0054220151484384825,5,0.9134649910233392,0.005438571196345317,5,0.9883245656880346,0.0013358461534976845,5,0.7217040818140624,0.011737262537918052,5,0.05435891443905527,0.004079643367057306,5,0.09004353039118004,0.006004500222703388,5,18.760708749992773,2.138020063057101,5,13697.0,0.0,5
edge_pool_graph_v1,row1_pure_hybrid,0,250,0.8428451146504383,0.02817018289364023,8,0.7998621323529411,0.07487243474088068,8,0.8858280969479353,0.025330182239810782,8,0.9286558646966417,0.020386766771135736,8,0.547666915091643,0.029535763092765937,8,0.08887209558219465,0.011332771228202362,8,0.10226149490808409,0.028407322113092357,8,1.228685505237081,0.5498058821677118,8,13697.0,0.0,8
edge_pool_graph_v1,row1_pure_hybrid,0,500,0.90742777418418,0.021565165556710758,8,0.9278492647058824,0.05593579860757799,8,0.8870062836624776,0.02633484696541215,8,0.9672715685311939,0.009945654647689577,8,0.6354315981439885,0.03451344039265734,8,0.07985349365660689,0.013072051118907583,8,0.10248300131504795,0.024581513285208415,8,2.3968267707532505,0.7813532850676159,8,13697.0,0.0,8
edge_pool_graph_v1,row1_pure_hybrid,0,1000,0.9520375699651494,0.006532181673607891,8,0.9825367647058824,0.0056444814233731384,8,0.9215383752244165,0.012436654358020084,8,0.9820983996297128,0.004775094216968948,8,0.7390000040888312,0.02893159267052213,8,0.05675434519636315,0.009290117128149583,8,0.06990892998981123,0.010800265589341869,8,7.309668270892871,0.6788367256661184,8,13697.0,0.0,8
