status,architecture,checkpoint_path,train_pos_rate,n_train,row,base_size,seed_split,total_labels,replicate,balanced_accuracy,accuracy,macro_f1,mcc,recall_blocked,recall_assemblable,precision_blocked,brier,ece_10bin,roc_auc,seed,n_val,pos_weight,parameter_count,fit_wall_s
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__row2_hybrid_diverse_half_B2500_R001_T3500,0.8914285714285715,2975,row2_hybrid_diverse_half,2500,1.0,3500,,0.9543576407223572,0.9244,0.8482444045544022,0.7321121145567518,0.9926470588235294,0.9160682226211849,0.5908096280087527,0.055505563510304876,0.10667308631443014,0.9902176675203295,995646,525,0.12179487198591232,46033,281.7514142909786
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__row2_hybrid_diverse_half_B2500_R002_T3500,0.8814285714285715,2975,row2_hybrid_diverse_half,2500,2.0,3500,,0.9531283002428979,0.9294,0.8553879776692819,0.7413571471618601,0.9834558823529411,0.9228007181328546,0.608646188850967,0.052547231890515377,0.10295334552082967,0.990269646345971,165564,525,0.13463005423545837,46033,294.40645979199326
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__row2_hybrid_diverse_half_B2500_R003_T3500,0.886,2975,row2_hybrid_diverse_half,2500,3.0,3500,,0.9641032579997888,0.9504,0.8914959419482289,0.7999088730919982,0.9816176470588235,0.946588868940754,0.6917098445595855,0.04056895682939479,0.07793839406944426,0.9926033306051324,800916,525,0.1286039501428604,46033,585.6635971660144
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__row2_hybrid_diverse_half_B2500_R004_T3500,0.8905714285714286,2975,row2_hybrid_diverse_half,2500,4.0,3500,,0.9567618676734608,0.933,0.8616242144902331,0.7520488751451462,0.9871323529411765,0.926391382405745,0.6208092485549133,0.04796075494449872,0.08998428825737194,0.9914428826961663,101613,525,0.12306530773639679,46033,414.8345167079824
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__row2_hybrid_diverse_half_B2500_R005_T3500,0.8808571428571429,2975,row2_hybrid_diverse_half,2500,5.0,3500,,0.9621742660259796,0.9484,0.8876993727879388,0.7932393864825936,0.9797794117647058,0.9445691202872532,0.6833333333333333,0.04019684672103038,0.07753353408433648,0.9922704186028092,398041,525,0.13506294786930084,46033,474.42245216702577
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__row2_hybrid_diverse_half_B2500_R006_T3500,0.8822857142857143,2975,row2_hybrid_diverse_half,2500,6.0,3500,,0.9618805444080685,0.945,0.8818827460758227,0.7842282997937069,0.9834558823529411,0.9403052064631957,0.6679151061173533,0.04322817698112853,0.08313622553254162,0.9923005333192523,624554,525,0.13333334028720856,46033,352.56133654201403
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__row2_hybrid_diverse_half_B2500_R007_T3500,0.8868571428571429,2975,row2_hybrid_diverse_half,2500,7.0,3500,,0.959930100855423,0.9444,0.880519155444063,0.7813115266772298,0.9797794117647058,0.9400807899461401,0.66625,0.043510741095528896,0.08784513234936941,0.9928665249762383,600812,525,0.1277482956647873,46033,574.6853403330315
ok,constraint_graph_mpnn_v1,data/arch_screen/checkpoints/constraint_graph_mpnn_v1__row2_hybrid_diverse_half_B2500_R008_T3500,0.8725714285714286,2975,row2_hybrid_diverse_half,2500,8.0,3500,,0.9623293774421797,0.9458,0.8833075447313183,0.7865832087428215,0.9834558823529411,0.9412028725314183,0.671267252195734,0.041804422746865806,0.07495729935576964,0.9916239835251874,275652,525,0.14599384367465973,46033,476.03293504199246
ok,edge_pool_graph_v1,data/arch_screen/checkpoints/edge_pool_graph_v1__baseline_T0250_rep1,0.888,213,baseline_random,0,,250,1.0,0.872013280177421,0.8668,0.7549509475082853,0.5633746550487789,0.8786764705882353,0.8653500897666068,0.44341372912801486,0.09391870166933022,0.12038347195961267,0.9451287177236245,272033,37,0.1269841343164444,13697,1.1930157499737106
ok,edge_pool_graph_v1,data/arch_screen/checkpoints/edge_pool_graph_v1__baseline_T0250_rep2,0.852,212,baseline_random,0,,250,2.0,0.8613023418523603,0.9038,0.7951992141099822,0.6091808991746037,0.8069852941176471,0.9156193895870736,0.5386503067484663,0.06716284528163173,0.06867845907070073,0.9496057034797761,485850,38,0.1712707132101059,13697,1.1798482910380699
