row,base_size,total_labels,mean_bac,std_bac,n_splits
row1_uncertainty_disagreement,500,3500,0.9874411319173091,0.0043047732578736266,8
row1_uncertainty_disagreement,750,750,0.8924395147982891,0.011425525615426636,8
row1_uncertainty_disagreement,750,1000,0.9523826516131587,0.010583654354859485,8
row1_uncertainty_disagreement,750,1250,0.9698085529094942,0.0072258641409705905,8
row1_uncertainty_disagreement,750,1500,0.9782613000316823,0.006982027745768617,8
row1_uncertainty_disagreement,750,1750,0.9862058097475974,0.004183627635281004,8
row1_uncertainty_disagreement,750,2000,0.9897766725631006,0.005044691732783425,8
row1_uncertainty_disagreement,750,2250,0.9927930945717605,0.001950950250015177,8
row1_uncertainty_disagreement,750,2500,0.9935364742845074,0.0024512528932185084,8
row1_uncertainty_disagreement,750,2750,0.9926039494006759,0.0028632202022588872,8
row1_uncertainty_disagreement,750,3000,0.993235120854895,0.0016151325877509235,8
row1_uncertainty_disagreement,750,3250,0.992734102729961,0.0024532467580201177,8
row1_uncertainty_disagreement,750,3500,0.9892513151467948,0.0024614983845371997,8
row1_uncertainty_disagreement,1000,1000,0.9100644619944028,0.013618193117579558,8
row1_uncertainty_disagreement,1000,1250,0.9586481627547787,0.0057485227813256845,8
row1_uncertainty_disagreement,1000,1500,0.9750720278012461,0.005491859227433365,8
row1_uncertainty_disagreement,1000,1750,0.9851319932147007,0.002828894509213984,8
row1_uncertainty_disagreement,1000,2000,0.9890974413216813,0.0027118104466067115,8
row1_uncertainty_disagreement,1000,2250,0.9893899253485057,0.004668918461083251,8
row1_uncertainty_disagreement,1000,2500,0.9929327360993769,0.0015460651589335227,8
row1_uncertainty_disagreement,1000,2750,0.9938283395157883,0.0020461733023621493,8
row1_uncertainty_disagreement,1000,3000,0.9937027240204879,0.0020218119366071743,8
row1_uncertainty_disagreement,1000,3250,0.9921196387554124,0.002516141716291113,8
row1_uncertainty_disagreement,1000,3500,0.9907135290157356,0.0034549809677203117,8
row1_uncertainty_disagreement,1500,1500,0.9427869891223994,0.01321950453293876,8
row1_uncertainty_disagreement,1500,1750,0.9716098667361918,0.00415793068203359,8
row1_uncertainty_disagreement,1500,2000,0.981973454496251,0.003006018715236822,8
row1_uncertainty_disagreement,1500,2250,0.985844639415461,0.0035266224088151064,8
row1_uncertainty_disagreement,1500,2500,0.9862192169843701,0.004524244059491206,8
row1_uncertainty_disagreement,1500,2750,0.9884021213961348,0.004613246919770257,8
row1_uncertainty_disagreement,1500,3000,0.9940222287860386,0.0007260217938895177,8
row1_uncertainty_disagreement,1500,3250,0.9940822519537438,0.001197732200420855,8
row1_uncertainty_disagreement,1500,3500,0.9939799444239096,0.002752220790361117,8
row1_uncertainty_disagreement,2000,2000,0.9602809579285035,0.00625356208126309,8
row1_uncertainty_disagreement,2000,2250,0.9734097367066217,0.004604828085667514,8
row1_uncertainty_disagreement,2000,2500,0.9816153781418313,0.003621466724177303,8
row1_uncertainty_disagreement,2000,2750,0.9844447176312177,0.007372624437342703,8
row1_uncertainty_disagreement,2000,3000,0.9863169866802197,0.0033793127229021966,8
row1_uncertainty_disagreement,2000,3250,0.9905817255650016,0.0030130588866613133,8
row1_uncertainty_disagreement,2000,3500,0.9923283791187031,0.001686350871154551,8
