base_size,total_labels,seed_split,bac_row1,bac_row2,delta_bac
0,500,6,0.8534708654556975,0.8559988515154715,0.002527986059774001
0,750,6,0.9551513491392967,0.9298219848980884,-0.02532936424120824
0,1000,6,0.9762316506494878,0.970471076671243,-0.0057605739782448095
0,1250,6,0.9817034533741683,0.9851076539233288,0.0034042005491604632
0,1500,6,0.9878006521279966,0.9870151943183019,-0.0007854578096947451
0,1750,6,0.9901091720350619,0.9867264230647376,-0.003382748970324312
0,2000,6,0.993651982785933,0.9882280335832717,-0.005423949202661316
0,2250,6,0.9917922959129792,0.9939671559826804,0.0021748600697011344
0,2500,6,0.993384663111205,0.9870844994191572,-0.006300163692047778
0,2750,6,0.9940793642412082,0.9915678793959235,-0.0025114848452847394
0,3000,6,0.9912098030415039,0.9881851304255993,-0.0030246726159045556
0,3250,6,0.9930480383356215,0.9844179031576724,-0.008630135177949083
0,3500,6,0.9914127679797233,0.9901784771359172,-0.0012342908438061073
0,250,7,0.7731512039286091,0.7731512039286091,0.0
0,500,7,0.9426005253986693,0.9287114531629528,-0.01388907223571656
0,750,7,0.9500854762910551,0.9703489676840216,0.02026349139296646
0,1000,7,0.9873254171507023,0.972218555285669,-0.015106861865033294
0,1250,7,0.9815219400147851,0.9740353390009504,-0.007486601013834693
0,1500,7,0.9875976871897771,0.9932031497518217,0.0056054625620445275
0,1750,7,0.9942130240785723,0.9937427394656246,-0.0004702846129476246
0,2000,7,0.9916586360756152,0.9955116696588868,0.0038530335832716034
0,2250,7,0.9944374405956278,0.9927114135600381,-0.0017260270355896612
0,2500,7,0.9923533372056184,0.9906273101700285,-0.0017260270355898832
0,2750,7,0.9929143784982575,0.990157025557081,-0.0027573529411765163
0,3000,7,0.990157025557081,0.982221591509135,-0.007935434047945944
0,3250,7,0.9888798315556024,0.9821093832506073,-0.00677044830499518
0,3500,7,0.9952228984053226,0.9825582162847186,-0.01266468212060401
0,250,8,0.8252587390431936,0.8252587390431936,0.0
0,500,8,0.8490963934945612,0.8145725525398669,-0.034523840954694296
0,750,8,0.9016659626148484,0.9486053173513571,0.046939354736508676
0,1000,8,0.9849475921427817,0.9693704456648009,-0.015577146477980808
0,1250,8,0.9841885362762699,0.9759379290315767,-0.008250607244693176
0,1500,8,0.9830714040553385,0.9890992977083113,0.006027893652972738
0,1750,8,0.9941222673988805,0.9914985742950682,-0.0026236931038123856
0,2000,8,0.9921503722673989,0.992577753722674,0.00042738145527509985
0,2250,8,0.9954902180800507,0.9889227347132749,-0.006567483366775817
0,2500,8,0.9906058585911923,0.9966123006653289,0.0060064420741365865
0,2750,8,0.9867049714859013,0.995132141725631,0.00842717023972972
0,3000,8,0.9917708443341431,0.9934968713697327,0.0017260270355896612
0,3250,8,0.9832958205723941,0.9867049714859013,0.0034091509135072418
0,3500,8,0.9891256996514943,0.9899540606188616,0.0008283609673672698
1000,1000,1,0.928274170978984,0.928274170978984,0.0
1000,1250,1,0.9684199757102123,0.9702846129475129,0.0018646372373005704
1000,1500,1,0.9830664536909917,0.9820351277854049,-0.001031325905586744
1000,1750,1,0.9895695823212589,0.9892544091245116,-0.00031517319674734257
1000,2000,1,0.9912956093568487,0.9869458892174464,-0.004349720139402269
1000,2250,1,0.99174444239096,0.9857380003168232,-0.0060064420741368085
1000,2500,1,0.9949077252085754,0.9930909414932939,-0.0018167837152814892
1000,2750,1,0.9910068381032844,0.9918566506494878,0.0008498125462034212
1000,3000,1,0.9899755121976977,0.9939671559826804,0.003991643784982624
1000,3250,1,0.9871752560988489,0.9944374405956278,0.007262184496778845
1000,3500,1,0.9833651256732496,0.9897989492026613,0.006433823529411686
1000,1000,2,0.9244211373957123,0.9244211373957123,0.0
1000,1250,2,0.9533081634808322,0.968644392227268,0.015336228746435698
1000,1500,2,0.9776590057028197,0.9672599403316084,-0.010399065371211269
1000,1750,2,0.9803520039074876,0.9865878128630268,0.006235808955539213
1000,2000,2,0.9924391435209632,0.9908253247439012,-0.001613818777062015
1000,2250,2,0.9918087971274685,0.9932460529094942,0.0014372557820256926
1000,2500,2,0.9910018877389376,0.9888534296124195,-0.0021484581265180935
1000,2750,2,0.9954902180800507,0.9938549477241525,-0.0016352703558981663
1000,3000,2,0.9960512593726898,0.9941008158200444,-0.0019504435526453978
1000,3250,2,0.9929358300770936,0.9925563021438378,-0.0003795279332557966
1000,3500,2,0.9901091720350619,0.9907609700073925,0.0006517979723306144
1000,1000,3,0.8998326776850776,0.8998326776850776,0.0
1000,1250,3,0.9566810117224628,0.9672500396029148,0.010569027880451998
1000,1500,3,0.9759494798817193,0.9808387897349244,0.004889309853205126
1000,1750,3,0.9844344043721618,0.9787596367092618,-0.005674767662899982
1000,2000,3,0.9901735267715703,0.98916365244482,-0.0010098743267503707
