accuracy,balanced_accuracy,base_size,brier,macro_f1,mcc,precision_blocked,recall_assemblable,recall_blocked,roc_auc,round_idx,row,seed_split,status,total_labels,train_pos_rate,wall_s
0.9974,0.9928929269194213,0,0.0025309281276037873,0.9932909673403258,0.9865824615944073,0.988950276243094,0.998653500897666,0.9871323529411765,0.9999286322473334,14,row1_uncertainty_disagreement,1,ok,3500,0.8912,5.919122250052169
0.9074,0.7761758765445137,0,0.0677567259022916,0.7681377151799686,0.5367075574569546,0.5697074010327022,0.9438958707360862,0.6084558823529411,0.9196320724205301,1,row1_uncertainty_disagreement,2,ok,250,0.8912,0.9607434580102563
0.9334,0.85450879184708,0,0.0495438425960545,0.8367741633793571,0.6750542594534097,0.6732348111658456,0.9553411131059246,0.7536764705882353,0.9626193862868307,2,row1_uncertainty_disagreement,2,ok,500,0.8912,0.6644480839604512
0.967,0.9298434364769247,0,0.024944225696618406,0.9173708920187793,0.8353380598151191,0.8261617900172117,0.9773339317773788,0.8823529411764706,0.990102571549266,3,row1_uncertainty_disagreement,2,ok,750,0.8912,0.5548610839759931
0.9774,0.9703753696272046,0,0.015013657722862214,0.9448603987286077,0.8919166113819941,0.8504065040650407,0.9793536804308797,0.9613970588235294,0.9974868650332666,4,row1_uncertainty_disagreement,2,ok,1000,0.8912,0.935298457974568
0.9912,0.9813453770197487,0,0.006911204097407688,0.9774922153757634,0.955034873088026,0.9512635379061372,0.9939407540394973,0.96875,0.9993160246594148,5,row1_uncertainty_disagreement,2,ok,1250,0.8912,1.8816489580785856
0.99,0.9887412213538916,0,0.0074919945786144386,0.9749414230705697,0.9505082154644878,0.9258620689655173,0.9903500897666068,0.9871323529411765,0.9993911051853417,6,row1_uncertainty_disagreement,2,ok,1500,0.8912,2.3206947080325335
0.994,0.9885646583588552,0,0.005343265732394323,0.9846537832107478,0.9693586118557456,0.9638989169675091,0.9955116696588869,0.9816176470588235,0.9996860643943394,7,row1_uncertainty_disagreement,2,ok,1750,0.8912,2.4033167500747368
0.9942,0.9878699572288521,0,0.00488021872685585,0.9851296921589893,0.9702845355139337,0.9673321234119783,0.9959605026929982,0.9797794117647058,0.9997479439486746,8,row1_uncertainty_disagreement,2,ok,2000,0.8912,2.5990895410068333
0.9934,0.9922625805259268,0,0.004427236851645166,0.9832922880543201,0.9668485839906209,0.9506172839506173,0.9937163375224417,0.9908088235294118,0.9998044606083007,9,row1_uncertainty_disagreement,2,ok,2250,0.8912,4.438946457928978
0.9956,0.9934968713697327,0,0.003308636898679393,0.9887640449438202,0.9776018604197433,0.9694244604316546,0.9961849192100538,0.9908088235294118,0.9999080057292217,10,row1_uncertainty_disagreement,2,ok,2500,0.8912,4.650534540996887
0.993,0.9912312546203401,0,0.004496475287940555,0.9822796994515517,0.9648229658939051,0.9488536155202821,0.993491921005386,0.9889705882352942,0.9998283873693103,11,row1_uncertainty_disagreement,2,ok,2750,0.8912,4.101856458932161
0.996,0.9945281972753195,0,0.003266633310859098,0.9897854954034729,0.9796448847680076,0.9712230215827338,0.9964093357271095,0.9926470588235294,0.9998675777537226,12,row1_uncertainty_disagreement,2,ok,3000,0.8912,4.565788957988843
0.996,0.9937212878867885,0,0.002925961428365929,0.9897691888071651,0.9795898538326882,0.9729241877256317,0.9966337522441652,0.9908088235294118,0.9998877917414721,13,row1_uncertainty_disagreement,2,ok,3250,0.8912,5.705852916929871
0.9968,0.9957839396979618,0,0.002691937060737193,0.9918153510457322,0.9836823506234652,0.9765342960288809,0.9970825852782765,0.9944852941176471,0.9999084182595839,14,row1_uncertainty_disagreement,2,ok,3500,0.8912,4.169606999959797
0.908,0.8305754303516739,0,0.07046850553955833,0.7905752297480784,0.5891219758735838,0.5589887640449438,0.9295332136445242,0.7316176470588235,0.9391587845865456,1,row1_uncertainty_disagreement,3,ok,250,0.8912,1.114740457967855
0.8956,0.8720330816348083,0,0.07185981187163054,0.7880143818840502,0.6046518197749198,0.5123042505592841,0.9021543985637342,0.8419117647058824,0.9566249075931988,2,row1_uncertainty_disagreement,3,ok,500,0.8912,0.31522020895499736
0.962,0.922196773682543,0,0.026711154146682434,0.9058002831147702,0.8126461420219242,0.797979797979798,0.9730700179533214,0.8713235294117647,0.9893249518164537,3,row1_uncertainty_disagreement,3,ok,750,0.8912,0.7788841669680551
0.9802,0.9800153791319041,0,0.01462209310284789,0.9519080131451431,0.9064083878254771,0.8582930756843801,0.9802513464991023,0.9797794117647058,0.997925797338684,4,row1_uncertainty_disagreement,3,ok,1000,0.8912,0.9349737910088152
0.9844,0.9831786619495195,0,0.01070424682768537,0.9615637975914102,0.9246639482855638,0.8870431893687708,0.9847396768402155,0.9816176470588235,0.9989092697222516,5,row1_uncertainty_disagreement,3,ok,1250,0.8912,1.8160846659447998
0.9886,0.9815004884359488,0,0.008860476501556453,0.9712318085350682,0.9428180195149239,0.9264448336252189,0.9905745062836625,0.9724264705882353,0.9989076196008027,6,row1_uncertainty_disagreement,3,ok,1500,0.8912,2.417039916967042
0.9884,0.990264283451262,0,0.008662077848788788,0.9712442969508246,0.9436627737410981,0.9090909090909091,0.9878815080789947,0.9926470588235294,0.9992603330605133,7,row1_uncertainty_disagreement,3,ok,1750,0.8912,2.1687905830331147
0.9912,0.9869937427394656,0,0.007763057202834352,0.977740579813377,0.9557655531003985,0.9401408450704225,0.9923698384201077,0.9816176470588235,0.9994979505491604,8,row1_uncertainty_disagreement,3,ok,2000,0.8912,2.0924264170462266
0.9896,0.99174444239096,0,0.007855332363919543,0.9741397590859957,0.9492840772803208,0.9169491525423729,0.9890035906642729,0.9944852941176471,0.9995701433625515,9,row1_uncertainty_disagreement,3,ok,2250,0.8912,2.265184791991487
0.995,0.9971947935368043,0,0.004579201607612869,0.987362543651038,0.9750381321623017,0.9560632688927944,0.9943895870736086,1.0,0.9998754158306051,10,row1_uncertainty_disagreement,3,ok,2500,0.8912,4.344736541970633
0.9952,0.9956931830182701,0,0.0032541163059421727,0.9878201474249355,0.9758423507608716,0.9609929078014184,0.9950628366247756,0.9963235294117647,0.9999302823687822,11,row1_uncertainty_disagreement,3,ok,2750,0.8912,5.61130350001622
0.995,0.9971947935368043,0,0.0035529100854287976,0.987362543651038,0.9750381321623017,0.9560632688927944,0.9943895870736086,1.0,0.9998948047576302,12,row1_uncertainty_disagreement,3,ok,3000,0.8912,4.7747385000111535
0.9956,0.9951106901467948,0,0.0033782138621283706,0.9887997210926911,0.9777297760434637,0.9660714285714286,0.9957360861759426,0.9944852941176471,0.9998671652233605,13,row1_uncertainty_disagreement,3,ok,3250,0.8912,3.9496007920242846
0.9958,0.9952228984053226,0,0.0030984753300121355,0.9893003346142022,0.9787154940779493,0.9677996422182469,0.9959605026929982,0.9944852941176471,0.9999005801827014,14,row1_uncertainty_disagreement,3,ok,3500,0.8912,4.98821424995549
0.8442,0.8359333746963776,0,0.11841632630317481,0.7209419823694082,0.49975039770142055,0.39629302736098854,0.8464991023339318,0.8253676470588235,0.9126108056552962,1,row1_uncertainty_disagreement,4,ok,250,0.8912,0.931441624998115
0.9254,0.9129593938113845,0,0.052818747656371304,0.8401912426686127,0.699754118946342,0.6062111801242236,0.9288599640933572,0.8970588235294118,0.9760249729380083,2,row1_uncertainty_disagreement,4,ok,500,0.8912,0.42838599998503923
0.9676,0.9430906114690041,0,0.023080592874424242,0.9206526777664101,0.8431355609679597,0.8131147540983606,0.9744165170556554,0.9117647058823529,0.993258016289999,3,row1_uncertainty_disagreement,4,ok,750,0.8912,0.749243582948111
0.9754,0.9692532870419264,0,0.018065071170097074,0.9404268286953601,0.8836500832556772,0.8368,0.9771095152603232,0.9613970588235294,0.9963161038652445,4,row1_uncertainty_disagreement,4,ok,1000,0.8912,0.8743823750410229
0.9832,0.9768570466786355,0,0.012242477528648035,0.9583538093770563,0.917856467493382,0.8872053872053872,0.9849640933572711,0.96875,0.9983552414457705,5,row1_uncertainty_disagreement,4,ok,1250,0.8912,1.1599522499600425
0.989,0.9922147270039074,0,0.008322707814873282,0.972752526856348,0.9467279545512619,0.9109243697478991,0.9881059245960503,0.9963235294117647,0.9994657731809062,6,row1_uncertainty_disagreement,4,ok,1500,0.8912,1.746401375043206
0.9896,0.987709895448305,0,0.007125931723014743,0.9739390799933926,0.948502483794534,0.9241379310344827,0.9901256732495511,0.9852941176470589,0.9994938252455381,7,row1_uncertainty_disagreement,4,ok,1750,0.8912,2.7790669170208275
0.9916,0.9936734343647693,0,0.0062785753453230625,0.9789834473631431,0.9586662672025411,0.9312714776632303,0.9910233393177738,0.9963235294117647,0.9997359805681698,8,row1_uncertainty_disagreement,4,ok,2000,0.8912,3.1633620409993455
0.9948,0.9946618571126835,0,0.004455143599826107,0.9868051597103469,0.9738120394098455,0.9592198581560284,0.99483842010772,0.9944852941176471,0.9998655151019115,9,row1_uncertainty_disagreement,4,ok,2250,0.8912,4.644263125024736
0.9954,0.9958053912767979,0,0.004213806416710624,0.9883184108650562,0.9768196101132127,0.9626998223801065,0.9952872531418312,0.9963235294117647,0.9998370505069173,10,row1_uncertainty_disagreement,4,ok,2500,0.8912,5.201433041947894
0.995,0.9963878841482734,0,0.003708644338745417,0.987342642465394,0.9749510563774838,0.9576719576719577,0.9946140035906643,0.9981617647058824,0.9998832539074876,11,row1_uncertainty_disagreement,4,ok,2750,0.8912,5.377514707972296
0.9964,0.9955595231809061,0,0.0030138353860522074,0.9908069458631257,0.9816879091162718,0.9730215827338129,0.9966337522441652,0.9944852941176471,0.999913781154293,12,row1_uncertainty_disagreement,4,ok,3000,0.8912,5.816948750056326
0.995,0.9955809747597424,0,0.0033823813987756282,0.9873226682152618,0.974867576273601,0.95929203539823,0.99483842010772,0.9963235294117647,0.999908418259584,13,row1_uncertainty_disagreement,4,ok,3250,0.8912,4.661293874960393
0.9952,0.9900448172985532,0,0.003224090781284187,0.987683672367621,0.975385930560077,0.9727272727272728,0.9966337522441652,0.9834558823529411,0.9998420008712642,14,row1_uncertainty_disagreement,4,ok,3500,0.8912,4.802511333953589
0.8776,0.8119059562783821,0,0.08618610804747462,0.7464533295152187,0.5147262402227466,0.4604651162790698,0.895870736086176,0.7279411764705882,0.918756270461506,1,row1_uncertainty_disagreement,5,ok,250,0.8912,0.973860708065331
