row,base_size,total_labels,n_seeds,bac_mean,bac_std,bac_min,bac_max,acc_mean,f1_mean,mcc_mean,auc_mean
row1_uncertainty_disagreement,250,2000,8,0.9887263702608512,0.004097485051648566,0.982355251346499,0.9931602465941494,0.99285,0.9818383167571653,0.9638932865545364,0.999642439308533
row1_uncertainty_disagreement,250,2250,8,0.9906374171639033,0.0020981226669300555,0.9876669922906326,0.9937856426232972,0.9932,0.982763116563093,0.9657642962290193,0.9997393839436582
row1_uncertainty_disagreement,250,2500,8,0.9957459869046362,0.0010974301917070042,0.9940100591403527,0.9973977584750238,0.994575,0.9862974907784449,0.9729092471554783,0.9998596365442497
row1_uncertainty_disagreement,250,2750,8,0.9949310331740416,0.001401731707106584,0.9926899619812019,0.9975314183123878,0.9951,0.9875611803497947,0.9753158704345672,0.9998758283609673
row1_uncertainty_disagreement,250,3000,8,0.9946317423962403,0.0028565812775475556,0.9904936503326645,0.9978680430879713,0.995825,0.9893559284628796,0.978824010229491,0.9998726312506601
row1_uncertainty_disagreement,250,3250,8,0.9934133339713804,0.0031380226738701275,0.9876240891329602,0.9989901256732496,0.99635,0.9906423231944226,0.9813192247533971,0.999900683315292
row1_uncertainty_disagreement,250,3500,8,0.9938081255280389,0.0040502235826253685,0.9849789444503115,0.9984290843806104,0.995975,0.9897042956864053,0.9794854919885452,0.999890163791055
row1_uncertainty_disagreement,500,500,8,0.8696478310803676,0.025625369293735108,0.8212984475657409,0.902807846657514,0.9064500000000001,0.801244074152873,0.6232792375554209,0.9543951036358775
row1_uncertainty_disagreement,500,750,8,0.9342020260191151,0.01139520898136323,0.9166721670714965,0.9487389771887211,0.9533750000000001,0.8920318185167719,0.791417146169514,0.9873869615241182
row1_uncertainty_disagreement,500,1000,8,0.9645341459631429,0.00759360337090492,0.9518808084275003,0.9765154715387052,0.974,0.937106387280636,0.87717048379058,0.9956827666266237
