base_size,seed_split,total_labels,delta_balanced_accuracy,delta_accuracy,delta_macro_f1,delta_mcc,delta_recall_blocked,delta_recall_assemblable,delta_roc_auc,delta_brier
1000,6,1500,0.0013250475234978243,0.0038000000000000256,0.00858126956981109,0.015992302506624756,-0.0018382352941176405,0.004488330341113067,0.0004323318196219894,-0.0017599126857706128
1000,6,1750,0.0056054625620446386,0.0028000000000000247,0.00681222296429751,0.013445198373748801,0.009191176470588314,0.0020197486535009634,0.00017367528250067377,-0.000691880074230768
1000,6,2000,0.0012557424226422587,0.0007999999999999119,0.0019123407206522725,0.0037221157447580033,0.0018382352941176405,0.0006732495511669878,0.00019223914880139858,-0.0006736753526488965
1000,6,2250,-0.009501399302988656,0.0031999999999999806,0.007013328741978797,0.012312939768383213,-0.02573529411764708,0.006732495511669656,-0.00011303331925227589,-0.0027591695041159527
1000,6,2500,0.004258963459710774,0.00040000000000006697,0.00114667032485527,0.0025999147518207533,0.009191176470588203,-0.0006732495511668768,-7.136775266658457e-05,0.0009990620924107754
1000,6,2750,0.004349720139402269,0.0020000000000000018,0.0050636201078793075,0.010094553873741474,0.007352941176470562,0.0013464991023339756,9.859475657403305e-05,-0.000801245678876958
1000,6,3000,0.0003366247755833829,0.0005999999999999339,0.0014513502465973716,0.0027907639455660993,0.0,0.0006732495511669878,6.022943288619409e-05,-0.000558260750632162
1000,6,3250,0.002062651811173266,0.0008000000000000229,0.0020235836533295526,0.004048125008896175,0.003676470588235281,0.0004488330341112512,0.00010684536381877496,-0.0007782043544040506
1000,6,3500,-0.0011649857429506527,0.0008000000000000229,0.0019641192970680788,0.0037770424857933582,-0.003676470588235281,0.0013464991023338646,1.526362340276144e-05,-0.0007689561371057359
1000,7,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,7,1250,0.009938681486957424,0.013399999999999967,0.026710949528319428,0.047184262881718064,0.005514705882352922,0.014362657091561926,0.002999508263808348,-0.010089661989311282
