accuracy,balanced_accuracy,brier,macro_f1,mcc,precision_blocked,recall_assemblable,recall_blocked,replicate,roc_auc,row,status,total_labels,train_pos_rate
0.9388,0.9382293536804309,0.043076702679103636,0.8669764637023111,0.7513578647170043,0.6521739130434783,0.9389587073608617,0.9375,1,0.9863860855158941,baseline_random,ok,1250,0.8912
0.936,0.9374653474495722,0.045812190082919514,0.8622949442621575,0.7439028528604649,0.6403508771929824,0.9355924596050269,0.9393382352941176,2,0.9835491142148063,baseline_random,ok,1250,0.8912
0.9442,0.9339967921639032,0.037952971187302634,0.8751011613443198,0.7624250305517257,0.6797829036635007,0.9470377019748654,0.9209558823529411,3,0.986336994402788,baseline_random,ok,1250,0.8912
0.9482,0.9289787728376808,0.03746491541888093,0.8810284033432948,0.7703969060318588,0.703862660944206,0.9535457809694794,0.9044117647058824,4,0.9834967228588024,baseline_random,ok,1250,0.8912
0.9546,0.9430592591614744,0.03025658571150493,0.8952935705362934,0.798564133282226,0.7287157287157288,0.9578096947935368,0.9283088235294118,5,0.9912778705512726,baseline_random,ok,1250,0.8912
0.9546,0.9559698093779703,0.030967807055592617,0.8975598392691314,0.8064938536317294,0.7186206896551725,0.9542190305206463,0.9577205882352942,1,0.9922778441493294,baseline_random,ok,1500,0.8912
0.9186,0.9325446852888373,0.05727027925942539,0.8350024838815264,0.7020790869567998,0.5763656633221851,0.914721723518851,0.9503676470588235,2,0.9812707090241841,baseline_random,ok,1500,0.8912
0.948,0.936935658464463,0.036798904958363694,0.8822709463532248,0.7750529845044319,0.6972222222222222,0.9510771992818672,0.9227941176470589,3,0.9877041200232337,baseline_random,ok,1500,0.8912
0.9524,0.9482802434259161,0.03143407645546162,0.892232635507952,0.7951764380656238,0.7125,0.9535457809694794,0.9430147058823529,4,0.992294757894181,baseline_random,ok,1500,0.8912
0.946,0.9495310354842117,0.03846284546905848,0.8812574675859274,0.7781029507254853,0.6793193717277487,0.9450179533213644,0.9540441176470589,5,0.9898612412873588,baseline_random,ok,1500,0.8912
